"Kod";"Nazwa";"Wyszczególnienie";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"studenci kobiety";"2019";65793;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"studenci kobiety";"2020";65739;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"studenci kobiety";"2021";65681;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"studenci kobiety";"2022";64977;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"studenci kobiety";"2023";65496;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"studenci kobiety";"2024";71041;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"studenci mężczyźni";"2019";51715;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"studenci mężczyźni";"2020";51379;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"studenci mężczyźni";"2021";50661;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"studenci mężczyźni";"2022";50074;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"studenci mężczyźni";"2023";50319;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"studenci mężczyźni";"2024";53914;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"studenci kobiety";"2019";33101;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"studenci kobiety";"2020";33362;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"studenci kobiety";"2021";33844;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"studenci kobiety";"2022";35193;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"studenci kobiety";"2023";35843;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"studenci kobiety";"2024";35905;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"studenci mężczyźni";"2019";21003;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"studenci mężczyźni";"2020";20872;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"studenci mężczyźni";"2021";20292;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"studenci mężczyźni";"2022";20859;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"studenci mężczyźni";"2023";20557;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"studenci mężczyźni";"2024";20772;"osoba";"";
0600000;"LUBELSKIE";"studenci kobiety";"2019";40788;"osoba";"";
0600000;"LUBELSKIE";"studenci kobiety";"2020";40953;"osoba";"";
0600000;"LUBELSKIE";"studenci kobiety";"2021";40493;"osoba";"";
0600000;"LUBELSKIE";"studenci kobiety";"2022";39484;"osoba";"";
0600000;"LUBELSKIE";"studenci kobiety";"2023";39012;"osoba";"";
0600000;"LUBELSKIE";"studenci kobiety";"2024";39772;"osoba";"";
0600000;"LUBELSKIE";"studenci mężczyźni";"2019";27762;"osoba";"";
0600000;"LUBELSKIE";"studenci mężczyźni";"2020";27681;"osoba";"";
0600000;"LUBELSKIE";"studenci mężczyźni";"2021";26841;"osoba";"";
0600000;"LUBELSKIE";"studenci mężczyźni";"2022";26714;"osoba";"";
0600000;"LUBELSKIE";"studenci mężczyźni";"2023";26428;"osoba";"";
0600000;"LUBELSKIE";"studenci mężczyźni";"2024";27415;"osoba";"";
0800000;"LUBUSKIE";"studenci kobiety";"2019";6730;"osoba";"";
0800000;"LUBUSKIE";"studenci kobiety";"2020";6806;"osoba";"";
0800000;"LUBUSKIE";"studenci kobiety";"2021";6806;"osoba";"";
0800000;"LUBUSKIE";"studenci kobiety";"2022";6668;"osoba";"";
0800000;"LUBUSKIE";"studenci kobiety";"2023";6430;"osoba";"";
0800000;"LUBUSKIE";"studenci kobiety";"2024";6917;"osoba";"";
0800000;"LUBUSKIE";"studenci mężczyźni";"2019";5870;"osoba";"";
0800000;"LUBUSKIE";"studenci mężczyźni";"2020";5703;"osoba";"";
0800000;"LUBUSKIE";"studenci mężczyźni";"2021";5478;"osoba";"";
0800000;"LUBUSKIE";"studenci mężczyźni";"2022";5198;"osoba";"";
0800000;"LUBUSKIE";"studenci mężczyźni";"2023";5136;"osoba";"";
0800000;"LUBUSKIE";"studenci mężczyźni";"2024";5430;"osoba";"";
1000000;"ŁÓDZKIE";"studenci kobiety";"2019";41228;"osoba";"";
1000000;"ŁÓDZKIE";"studenci kobiety";"2020";42328;"osoba";"";
1000000;"ŁÓDZKIE";"studenci kobiety";"2021";43105;"osoba";"";
1000000;"ŁÓDZKIE";"studenci kobiety";"2022";41311;"osoba";"";
1000000;"ŁÓDZKIE";"studenci kobiety";"2023";42065;"osoba";"";
1000000;"ŁÓDZKIE";"studenci kobiety";"2024";41297;"osoba";"";
