"Kod";"Nazwa";"Stypendia";"Typy instytucji";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"stypendium socjalne";"uczelnie ogółem";"2019";6124;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"stypendium socjalne";"uczelnie ogółem";"2020";4666;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"stypendium socjalne";"uczelnie ogółem";"2021";3773;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"stypendium socjalne";"uczelnie ogółem";"2022";3078;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"stypendium socjalne";"uczelnie ogółem";"2023";2809;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"stypendium socjalne";"uczelnie ogółem";"2024";2807;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"stypendium rektora";"uczelnie ogółem";"2019";9311;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"stypendium rektora";"uczelnie ogółem";"2020";9011;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"stypendium rektora";"uczelnie ogółem";"2021";8718;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"stypendium rektora";"uczelnie ogółem";"2022";8206;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"stypendium rektora";"uczelnie ogółem";"2023";8299;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"stypendium rektora";"uczelnie ogółem";"2024";8173;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2019";;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2020";;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2021";;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2022";;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2023";1473;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2024";1578;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"stypendium socjalne";"uczelnie ogółem";"2019";5704;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"stypendium socjalne";"uczelnie ogółem";"2020";4300;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"stypendium socjalne";"uczelnie ogółem";"2021";3341;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"stypendium socjalne";"uczelnie ogółem";"2022";2803;"osoba";"";
